Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
Gangplank,Qiyana,,,,110,56
Ezreal,Gangplank,,,,1090,511
Gangplank,Karma,,,,393,201
Nasus,Qiyana,,,,137,62
Ezreal,Nasus,,,,1299,603
Karma,Nasus,,,,517,264
Karma,Qiyana,,,,270,126
Ezreal,Karma,,,,4023,1953
Gragas,Zed,,,,743,366
Gragas,Nunu,,,,124,55
Gragas,Vayne,,,,388,206
Gragas,Seraphine,,,,228,104
Nunu,Zed,,,,486,246
Nunu,Vayne,,,,421,215
Nunu,Seraphine,,,,253,129
Irelia,Kindred,,,,258,112
Irelia,Kassadin,,,,100,47
Irelia,Kaisa,,,,1745,897
Irelia,Nautilus,,,,893,450
Kassadin,Kindred,,,,79,35
Kaisa,Kindred,,,,734,351
Kindred,Nautilus,,,,438,213
Kaisa,Kassadin,,,,391,193
Kassadin,Nautilus,,,,251,122
DrMundo,Volibear,,,,457,211
Taliyah,Volibear,,,,327,170
Ezreal,Volibear,,,,2033,941
Karma,Volibear,,,,803,411
DrMundo,Taliyah,,,,217,113
DrMundo,Ezreal,,,,1258,599
DrMundo,Karma,,,,522,249
Ezreal,Taliyah,,,,692,318
Kayle,LeeSin,,,,664,320
Ahri,Kayle,,,,793,391
Kayle,Samira,,,,397,204
Ahri,LeeSin,,,,2416,1194
LeeSin,Samira,,,,631,279
LeeSin,Rakan,,,,577,256
Rakan,Samira,,,,280,144
Jax,Vi,,,,609,310
Jax,Taliyah,,,,266,130
Jax,Kaisa,,,,1697,824
Jax,Senna,,,,530,252
Taliyah,Vi,,,,285,166
Kaisa,Vi,,,,2163,1049
Senna,Vi,,,,565,288
Kaisa,Taliyah,,,,700,344
Senna,Taliyah,,,,195,92
Kaisa,Senna,,,,1037,487
Heimerdinger,Shaco,,,,480,244
Heimerdinger,Yasuo,,,,640,340
Heimerdinger,Lux,,,,747,376
Alistar,Heimerdinger,,,,173,81
Shaco,Yasuo,,,,2098,1041
Lux,Shaco,,,,2214,1047
Alistar,Shaco,,,,478,226
Lux,Yasuo,,,,3221,1577
Alistar,Yasuo,,,,1245,620
Alistar,Lux,,,,304,155
Gragas,MonkeyKing,,,,164,86
Brand,Gragas,,,,222,102
Gragas,Jhin,,,,1051,523
Gragas,Nautilus,,,,495,257
Brand,MonkeyKing,,,,354,174
MonkeyKing,Nautilus,,,,494,252
Brand,Jhin,,,,2077,1023
Brand,Nautilus,,,,439,215
Jhin,Nautilus,,,,2260,1116
Annie,Viego,,,,370,190
Annie,Gwen,,,,255,123
Annie,Vayne,,,,271,136
Annie,Lulu,,,,277,147
Gwen,Viego,,,,825,408
Vayne,Viego,,,,1247,613
Gwen,Vayne,,,,955,473
Gwen,Lulu,,,,1423,766
Lulu,Vayne,,,,2158,1141
Talon,Yone,,,,698,350
Alistar,Yone,,,,878,429
Talon,Ziggs,,,,217,107
Alistar,Talon,,,,378,186
Akali,Ziggs,,,,149,70
Akali,Alistar,,,,492,244
Alistar,Ziggs,,,,125,55
Skarner,Yorick,,,,114,64
Sylas,Yorick,,,,1772,939
Kaisa,Yorick,,,,2657,1366
Pyke,Yorick,,,,947,468
Pyke,Skarner,,,,93,40
Kaisa,Sylas,,,,3101,1509
Pyke,Sylas,,,,1003,480
Kaisa,Pyke,,,,2180,1087
Garen,Pantheon,,,,1009,491
Fizz,Garen,,,,657,366
Garen,Lucian,,,,1342,652
Garen,Rakan,,,,512,247
Fizz,Pantheon,,,,569,269
Lucian,Pantheon,,,,1484,734
Pantheon,Rakan,,,,299,125
Fizz,Lucian,,,,594,284
Fizz,Rakan,,,,200,104
Lucian,Rakan,,,,351,167
Camille,Nunu,,,,124,58
Camille,Diana,,,,337,181
Camille,KogMaw,,,,77,48
Diana,Nunu,,,,205,108
KogMaw,Nunu,,,,127,75
Lulu,Nunu,,,,488,248
Diana,KogMaw,,,,262,138
Diana,Lulu,,,,1351,715
KogMaw,Lulu,,,,1309,694
Darius,JarvanIV,,,,635,311
Darius,Vladimir,,,,717,350
Darius,Lux,,,,2972,1510
JarvanIV,Lux,,,,1160,596
Lux,Vladimir,,,,1011,488
